survey_date,project_name,site,time,transect,transect_total_length_ft,eg_hab_length_ft,eg_start_ft,eg_end_ft
6/24/2024,Worked Example,project,pre_project,T1,125,90,52,98
6/24/2024,Worked Example,project,pre_project,T2,125,100,57,95
6/24/2024,Worked Example,project,pre_project,T3,125,100,54,88
6/24/2024,Worked Example,project,pre_project,T4,125,100,51,88
6/24/2024,Worked Example,project,pre_project,T5,125,100,42,88
6/24/2024,Worked Example,project,pre_project,T5,125,100,111,125
6/24/2024,Worked Example,project,pre_project,T6,125,100,41,87
6/24/2024,Worked Example,project,pre_project,T6,125,100,107,125
6/24/2024,Worked Example,project,pre_project,T7,125,100,42,83
6/24/2024,Worked Example,project,pre_project,T7,125,100,107,125
6/24/2024,Worked Example,reference,pre_project,T1,125,90,50,96
6/24/2024,Worked Example,reference,pre_project,T2,125,100,55,93
6/24/2024,Worked Example,reference,pre_project,T3,125,100,50,84
6/24/2024,Worked Example,reference,pre_project,T4,125,100,60,97
6/24/2024,Worked Example,reference,pre_project,T5,125,100,52,112
6/24/2024,Worked Example,reference,pre_project,T6,125,100,41,105
6/24/2024,Worked Example,reference,pre_project,T7,125,100,43,102
6/24/2025,Worked Example,project,1_year_post,T1,125,90,52,98
6/24/2025,Worked Example,project,1_year_post,T2,125,100,57,95
6/24/2025,Worked Example,project,1_year_post,T3,125,100,54,88
6/24/2025,Worked Example,project,1_year_post,T4,125,100,51,88
6/24/2025,Worked Example,project,1_year_post,T5,125,100,42,88
6/24/2025,Worked Example,project,1_year_post,T5,125,100,111,125
6/24/2025,Worked Example,project,1_year_post,T6,125,100,41,87
6/24/2025,Worked Example,project,1_year_post,T6,125,100,107,125
6/24/2025,Worked Example,project,1_year_post,T7,125,100,42,83
6/24/2025,Worked Example,project,1_year_post,T7,125,100,107,125
6/24/2025,Worked Example,reference,1_year_post,T1,125,90,50,96
6/24/2025,Worked Example,reference,1_year_post,T2,125,100,55,93
6/24/2025,Worked Example,reference,1_year_post,T3,125,100,50,84
6/24/2025,Worked Example,reference,1_year_post,T4,125,100,60,97
6/24/2025,Worked Example,reference,1_year_post,T5,125,100,52,112
6/24/2025,Worked Example,reference,1_year_post,T6,125,100,41,105
6/24/2025,Worked Example,reference,1_year_post,T7,125,100,43,102
6/24/2027,Worked Example,project,3_year_post,T1,125,90,52,98
6/24/2027,Worked Example,project,3_year_post,T2,125,100,57,95
6/24/2027,Worked Example,project,3_year_post,T3,125,100,54,88
6/24/2027,Worked Example,project,3_year_post,T4,125,100,51,88
6/24/2027,Worked Example,project,3_year_post,T5,125,100,42,88
6/24/2027,Worked Example,project,3_year_post,T5,125,100,111,125
6/24/2027,Worked Example,project,3_year_post,T6,125,100,41,87
6/24/2027,Worked Example,project,3_year_post,T6,125,100,107,125
6/24/2027,Worked Example,project,3_year_post,T7,125,100,42,83
6/24/2027,Worked Example,project,3_year_post,T7,125,100,107,125
6/24/2027,Worked Example,reference,3_year_post,T1,125,90,50,96
6/24/2027,Worked Example,reference,3_year_post,T2,125,100,55,93
6/24/2027,Worked Example,reference,3_year_post,T3,125,100,50,84
6/24/2027,Worked Example,reference,3_year_post,T4,125,100,60,97
6/24/2027,Worked Example,reference,3_year_post,T5,125,100,52,112
6/24/2027,Worked Example,reference,3_year_post,T6,125,100,41,105
6/24/2027,Worked Example,reference,3_year_post,T7,125,100,43,102
6/24/2029,Worked Example,project,5_year_post,T1,125,90,52,98
6/24/2029,Worked Example,project,5_year_post,T2,125,100,57,95
6/24/2029,Worked Example,project,5_year_post,T3,125,100,54,88
6/24/2029,Worked Example,project,5_year_post,T4,125,100,51,88
6/24/2029,Worked Example,project,5_year_post,T5,125,100,42,88
6/24/2029,Worked Example,project,5_year_post,T5,125,100,111,125
6/24/2029,Worked Example,project,5_year_post,T6,125,100,41,87
6/24/2029,Worked Example,project,5_year_post,T6,125,100,107,125
6/24/2029,Worked Example,project,5_year_post,T7,125,100,42,83
6/24/2029,Worked Example,project,5_year_post,T7,125,100,107,125
6/24/2029,Worked Example,reference,5_year_post,T1,125,90,50,96
6/24/2029,Worked Example,reference,5_year_post,T2,125,100,55,93
6/24/2029,Worked Example,reference,5_year_post,T3,125,100,50,84
6/24/2029,Worked Example,reference,5_year_post,T4,125,100,60,97
6/24/2029,Worked Example,reference,5_year_post,T5,125,100,52,112
6/24/2029,Worked Example,reference,5_year_post,T6,125,100,41,105
6/24/2029,Worked Example,reference,5_year_post,T7,125,100,43,102
